"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Pytest","Test Discovery","Easy","mcq","By default, pytest discovers test files that match which naming pattern?","test_*.py or *_test.py","tests_*.py","check_*.py","unittest_*.py","A","Pytest by default collects files matching test_*.py or *_test.py.",""
"2","Pytest","Test Discovery","Easy","mcq","Which prefix must a test function have for pytest to collect it by default?","check_","test_","verify_","assert_","B","Pytest collects functions and methods whose names start with test_.",""
"3","Pytest","Test Discovery","Easy","mcq","Which class naming convention does pytest use for test discovery?","Classes starting with Test","Classes ending with Test","Classes starting with Check","Any class with test methods","A","By default, pytest collects classes whose names start with Test (no __init__ method).",""
"4","Pytest","Test Discovery","Medium","mcq","Which pytest.ini option changes the default test file pattern?","python_files","test_pattern","file_match","discover_pattern","A","The python_files option in pytest.ini controls which file patterns are collected.",""
"5","Pytest","Test Discovery","Medium","mcq","What happens if a Test class has an __init__ method?","Pytest skips it","Pytest runs it normally","Pytest raises an error","Pytest collects only static methods","A","Pytest will not collect Test classes that have an __init__ method.",""
"6","Pytest","Test Discovery","Hard","mcq","Which command-line option tells pytest to collect tests but not execute them?","--collect-only","--dry-run","--list-tests","--no-run","A","The --collect-only flag makes pytest show collected tests without running them.",""
"7","Pytest","Test Discovery","Hard","mcq","How can you change test function discovery to functions starting with 'check_'?","Set python_functions = check_ in pytest.ini","Use --prefix=check_","Rename conftest.py","Set PYTEST_PREFIX env var","A","The python_functions setting in pytest.ini changes the function name prefix for collection.",""
"8","Pytest","Test Discovery","Medium","mcq","Which directory does pytest start collecting tests from by default?","The current working directory","The /tests directory","The site-packages directory","The home directory","A","By default, pytest starts collection from the current directory or configured testpaths.",""
"9","Pytest","Test Discovery","Easy","mcq","What is the purpose of the --rootdir option in pytest?","Set the root directory for test discovery","Set the Python root path","Change the home directory","Set the package root","A","--rootdir explicitly sets the root directory that pytest uses as a reference for discovery and configuration.",""
"10","Pytest","Test Discovery","Hard","mcq","Which hook can be used to modify test collection?","pytest_collect_modifyitems","pytest_modify_collection","pytest_filter_tests","pytest_pre_collect","A","The pytest_collect_modifyitems hook allows modification of the collected test items.",""
"11","Pytest","Fixtures","Easy","mcq","Which decorator is used to define a pytest fixture?","@pytest.fixture","@pytest.setup","@pytest.before","@pytest.init","A","The @pytest.fixture decorator defines a fixture function.",""
"12","Pytest","Fixtures","Easy","mcq","What is the default scope of a pytest fixture?","function","module","session","class","A","By default, fixtures have 'function' scope, meaning they run for each test function.",""
"13","Pytest","Fixtures","Medium","mcq","Which fixture scope runs the fixture once per test module?","module","function","session","class","A","scope='module' ensures the fixture is invoked once per module.",""
