"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"1","Python Requests","GET Requests","Easy","mcq","Which function in the requests library is used to send an HTTP GET request?","requests.get()","requests.send()","requests.fetch()","requests.retrieve()","A","requests.get() sends an HTTP GET request to the specified URL.",""
"2","Python Requests","GET Requests","Easy","mcq","What does requests.get(url) return?","A Response object","A string of HTML","A dictionary","A file object","A","requests.get() returns a Response object containing the server's response.",""
"3","Python Requests","GET Requests","Easy","mcq","Which attribute of a Response object contains the status code?","response.status_code","response.code","response.status","response.http_code","A","The status_code attribute holds the HTTP status code (e.g. 200, 404).",""
"4","Python Requests","GET Requests","Medium","mcq","What is the default HTTP method when using requests.request('GET', url)?","GET","POST","HEAD","OPTIONS","A","The first argument to requests.request() specifies the HTTP method.",""
"5","Python Requests","GET Requests","Medium","mcq","Which parameter of requests.get() is used to pass URL query parameters?","params","query","args","data","A","The params keyword argument accepts a dict of query parameters appended to the URL.",""
"6","Python Requests","GET Requests","Hard","mcq","When requests.get() follows redirects, which attribute holds the history of intermediate responses?","response.history","response.redirects","response.chain","response.previous","A","response.history is a list of Response objects for redirects that were followed.",""
"7","Python Requests","GET Requests","Hard","mcq","What happens if you call response.json() on a response that is not valid JSON?","Raises requests.exceptions.JSONDecodeError","Returns None","Returns an empty dict","Raises ValueError only in Python 2","A","response.json() raises a JSONDecodeError (subclass of ValueError) if the body is not valid JSON.",""
"8","Python Requests","POST Requests","Easy","mcq","Which function sends an HTTP POST request in the requests library?","requests.post()","requests.send_post()","requests.push()","requests.submit()","A","requests.post() is the convenience function for POST requests.",""
"9","Python Requests","POST Requests","Easy","mcq","What parameter is used to send form-encoded data in a POST request?","data","body","form","payload","A","The data parameter sends form-encoded data (application/x-www-form-urlencoded).",""
"10","Python Requests","POST Requests","Medium","mcq","What parameter sends JSON data in requests.post()?","json","data","body","payload","A","The json parameter serialises the dict to JSON and sets Content-Type to application/json.",""
"11","Python Requests","POST Requests","Medium","mcq","What Content-Type header is automatically set when using the json parameter?","application/json","text/json","application/x-www-form-urlencoded","multipart/form-data","A","When using json=, requests automatically sets Content-Type: application/json.",""
"12","Python Requests","POST Requests","Hard","mcq","If both data and json parameters are provided to requests.post(), which takes precedence?","data is ignored and json is used","data takes precedence","A TypeError is raised","Both are sent","A","When json is provided, it overrides data and the body is serialised from the json parameter.",""
"13","Python Requests","PUT Requests","Easy","mcq","Which function sends an HTTP PUT request?","requests.put()","requests.update()","requests.replace()","requests.modify()","A","requests.put() sends an HTTP PUT request.",""
"14","Python Requests","PUT Requests","Medium","mcq","In RESTful API design, what does a PUT request typically do?","Replaces the entire resource","Partially updates a resource","Deletes a resource","Creates a new resource only","A","PUT conventionally replaces the entire resource at the given URL.",""
"15","Python Requests","PUT Requests","Hard","mcq","What is the key semantic difference between PUT and POST in HTTP?","PUT is idempotent while POST is not","POST is idempotent while PUT is not","PUT cannot have a body","There is no difference","A","PUT is idempotent: sending the same request multiple times produces the same result.",""
"16","Python Requests","DELETE Requests","Easy","mcq","Which function sends an HTTP DELETE request?","requests.delete()","requests.remove()","requests.destroy()","requests.del()","A","requests.delete() sends an HTTP DELETE request.",""
"17","Python Requests","DELETE Requests","Medium","mcq","Can a DELETE request include a request body in the requests library?","Yes, using the data or json parameter","No, DELETE cannot have a body","Only with a special flag","Only in HTTP/2","A","The requests library allows sending a body with DELETE via data or json parameters.",""
"18","Python Requests","PATCH Requests","Easy","mcq","Which function sends an HTTP PATCH request?","requests.patch()","requests.partial_update()","requests.modify()","requests.fix()","A","requests.patch() sends an HTTP PATCH request for partial resource updates.",""
"19","Python Requests","PATCH Requests","Medium","mcq","What is the semantic difference between PATCH and PUT?","PATCH partially updates a resource; PUT replaces it entirely","They are identical","PATCH is for creating resources","PUT is for partial updates","A","PATCH applies a partial modification whereas PUT replaces the entire resource.",""
"20","Python Requests","Headers","Easy","mcq","How do you send custom headers with a GET request?","requests.get(url, headers={'Key': 'Value'})","requests.get(url, head={'Key': 'Value'})","requests.get(url, header='Key: Value')","requests.get(url).headers = {'Key': 'Value'}","A","The headers parameter accepts a dictionary of HTTP headers.",""
"21","Python Requests","Headers","Easy","mcq","How do you access response headers?","response.headers","response.head","response.get_headers()","response.header_dict","A","response.headers is a case-insensitive dictionary of response headers.",""
"22","Python Requests","Headers","Medium","mcq","Are response header lookups case-sensitive in the requests library?","No, they are case-insensitive","Yes, they are case-sensitive","Only for custom headers","Depends on the server","A","response.headers uses a CaseInsensitiveDict so lookups are case-insensitive.",""
"23","Python Requests","Headers","Hard","mcq","What class does requests use internally for response headers?","CaseInsensitiveDict","OrderedDict","defaultdict","HeaderDict","A","requests uses CaseInsensitiveDict from requests.structures for headers.",""
"24","Python Requests","Query Parameters","Easy","mcq","Which keyword argument adds query parameters to a GET request URL?","params","query","qs","args","A","The params keyword argument is appended to the URL as query string parameters.",""
"25","Python Requests","Query Parameters","Medium","mcq","What type can be passed to the params parameter?","dict, list of tuples, or bytes","Only dict","Only string","Only list","A","params accepts a dict, a list of 2-tuples, or a bytes object.",""
"26","Python Requests","Query Parameters","Hard","mcq","If params={'key': ['v1', 'v2']} is passed, how is the URL encoded?","key=v1&key=v2","key=[v1,v2]","key=v1+v2","key=v1;v2","A","When a list is provided as a value, the key is repeated for each element.",""
"27","Python Requests","Request Body","Easy","mcq","What does the data parameter accept in requests.post()?","A dictionary, bytes, or file-like object","Only JSON strings","Only bytes","Only dictionaries","A","The data parameter is flexible and accepts dicts, bytes, strings, or file-like objects.",""
"28","Python Requests","Request Body","Medium","mcq","What happens when you pass a dict to the data parameter of requests.post()?","It is form-encoded as application/x-www-form-urlencoded","It is sent as JSON","It is sent as multipart","A TypeError is raised","A","Dicts passed to data are form-encoded automatically.",""
"29","Python Requests","Request Body","Hard","mcq","How can you send raw bytes as the request body?","Pass a bytes object to the data parameter","Use the raw parameter","Use the bytes parameter","Use json=bytes_obj","A","You can pass bytes directly to data to send raw byte content.",""
"30","Python Requests","Response Handling","Easy","mcq","Which attribute returns the response body as a string?","response.text","response.body","response.string","response.data","A","response.text returns the response body decoded as a Unicode string.",""
"31","Python Requests","Response Handling","Easy","mcq","Which attribute returns the response body as bytes?","response.content","response.bytes","response.raw_data","response.binary","A","response.content returns the response body as raw bytes.",""
"32","Python Requests","Response Handling","Medium","mcq","What does response.json() do?","Parses the response body as JSON and returns a Python object","Returns the raw JSON string","Validates the JSON schema","Converts the response to a JSON file","A","response.json() deserialises the JSON response body into a Python dict/list.",""
"33","Python Requests","Response Handling","Medium","mcq","Which attribute gives the encoding used to decode response.text?","response.encoding","response.charset","response.decode_type","response.text_encoding","A","response.encoding is the encoding used; it can also be set manually.",""
"34","Python Requests","Response Handling","Hard","mcq","What does response.raise_for_status() do?","Raises an HTTPError for 4xx/5xx status codes","Returns the status code","Prints the status","Logs the status","A","raise_for_status() raises requests.exceptions.HTTPError if the status code indicates an error.",""
"35","Python Requests","Response Handling","Hard","mcq","How can you access the raw socket response from urllib3?","response.raw (with stream=True)","response.socket","response.connection","response.urllib3","A","Setting stream=True and accessing response.raw gives the urllib3 HTTPResponse object.",""
"36","Python Requests","Authentication - Basic","Easy","mcq","How do you send HTTP Basic authentication with requests?","requests.get(url, auth=('user', 'pass'))","requests.get(url, login=('user', 'pass'))","requests.get(url, basic_auth=True)","requests.get(url, credentials=('user', 'pass'))","A","A tuple of (username, password) passed to auth uses HTTPBasicAuth by default.",""
"37","Python Requests","Authentication - Basic","Medium","mcq","What class provides explicit Basic authentication?","requests.auth.HTTPBasicAuth","requests.BasicAuth","requests.auth.Basic","requests.HTTPAuth","A","HTTPBasicAuth from requests.auth explicitly provides Basic auth.",""
"38","Python Requests","Authentication - Basic","Hard","mcq","What encoding does HTTP Basic Auth use for the credentials?","Base64","SHA-256","MD5","URL encoding","A","Basic Auth encodes username:password in Base64 in the Authorization header.",""
"39","Python Requests","Authentication - Bearer Token","Easy","mcq","How do you send a Bearer token with requests?","headers={'Authorization': 'Bearer TOKEN'}","auth=('Bearer', 'TOKEN')","token='TOKEN'","bearer='TOKEN'","A","Bearer tokens are sent via the Authorization header with the 'Bearer ' prefix.",""
"40","Python Requests","Authentication - Bearer Token","Medium","mcq","Which header carries the Bearer token?","Authorization","Authentication","X-Auth-Token","Bearer-Token","A","The standard Authorization header carries Bearer tokens.",""
"41","Python Requests","Authentication - OAuth","Medium","mcq","Which third-party library integrates OAuth1 with requests?","requests-oauthlib","oauthlib-requests","requests-oauth2","python-oauth","A","requests-oauthlib provides OAuth1 and OAuth2 integration with the requests library.",""
"42","Python Requests","Authentication - OAuth","Hard","mcq","What class from requests_oauthlib is used for OAuth1 authentication?","OAuth1","OAuth1Auth","OAuth1Session","OAuth1Handler","A","The OAuth1 class is used as the auth parameter for OAuth1 authentication.",""
"43","Python Requests","Session Management","Easy","mcq","How do you create a session object in requests?","requests.Session()","requests.create_session()","requests.new_session()","requests.connect()","A","requests.Session() creates a session that persists cookies and settings across requests.",""
"44","Python Requests","Session Management","Easy","mcq","What is a key benefit of using a requests Session?","Persists cookies across requests","Automatically retries failed requests","Encrypts all data","Caches all responses","A","Sessions persist cookies, headers, and other parameters across multiple requests.",""
"45","Python Requests","Session Management","Medium","mcq","Can you set default headers on a Session object?","Yes, via session.headers.update()","No, headers must be set per request","Only for GET requests","Only via a config file","A","session.headers is a dict that can be updated to set default headers for all requests.",""
"46","Python Requests","Session Management","Medium","mcq","Does a Session object reuse TCP connections?","Yes, via urllib3 connection pooling","No, each request opens a new connection","Only for HTTPS","Only if keep-alive is set","A","Sessions use urllib3's connection pooling to reuse TCP connections for performance.",""
"47","Python Requests","Session Management","Hard","mcq","Can a Session be used as a context manager?","Yes, using 'with requests.Session() as s:'","No, sessions have no context manager support","Only in Python 3.8+","Only with a plugin","A","Session supports the context manager protocol, ensuring proper cleanup.",""
"48","Python Requests","Timeout Handling","Easy","mcq","How do you set a timeout for a request?","requests.get(url, timeout=5)","requests.get(url, max_time=5)","requests.get(url, wait=5)","requests.get(url, limit=5)","A","The timeout parameter sets the number of seconds to wait for a response.",""
"49","Python Requests","Timeout Handling","Medium","mcq","What exception is raised when a request times out?","requests.exceptions.Timeout","requests.exceptions.TimeoutError","TimeoutError","socket.timeout","A","requests.exceptions.Timeout is raised when the request exceeds the timeout value.",""
"50","Python Requests","Timeout Handling","Medium","mcq","Can you set separate connect and read timeouts?","Yes, timeout=(connect_timeout, read_timeout)","No, only a single value","Only via Session","Only with urllib3","A","Passing a tuple sets (connect_timeout, read_timeout) separately.",""
"51","Python Requests","Timeout Handling","Hard","mcq","What is the default timeout value in requests?","None (wait indefinitely)","30 seconds","60 seconds","10 seconds","A","By default, requests has no timeout and will wait indefinitely.",""
"52","Python Requests","Retry Mechanism","Medium","mcq","Which urllib3 class is used to configure retries with requests?","urllib3.util.retry.Retry","urllib3.Retry","requests.Retry","requests.adapters.Retry","A","urllib3.util.retry.Retry configures retry logic that can be mounted on a Session.",""
"53","Python Requests","Retry Mechanism","Medium","mcq","How do you mount a retry strategy on a requests Session?","session.mount('https://', HTTPAdapter(max_retries=retry))","session.retry = retry","session.set_retry(retry)","session.config(retry=retry)","A","An HTTPAdapter with max_retries is mounted on the session for specific URL prefixes.",""
"54","Python Requests","Retry Mechanism","Hard","mcq","Which parameter of Retry specifies which HTTP methods to retry?","allowed_methods","method_whitelist","retry_methods","methods","A","allowed_methods (formerly method_whitelist) specifies which methods are retried.",""
